DPTO_NORM,NOMBRE_CARRERA,MODALIDAD,AREA_FRASCATI,AREA_ESTRATEGICA,EJES_ESTRATEGICOS
ALTO PARAGUAY,EDUCACION ESCOLAR BASICA,PRESENCIAL,Ciencias Sociales,EDUCACION,EDUCACION
ALTO PARAGUAY,ADMINISTRACIÓN AGROPECUARIOS,PRESENCIAL,Ciencias Sociales,GANADERIA,GANADERIA
ALTO PARANA,ADMINISTRACION,PRESENCIAL,Ciencias Sociales,ADMINISTRACION,"ADMINISTRACION, COMERCIO"
ALTO PARANA,ADMINISTRACION,PRESENCIAL,Ciencias Sociales,ADMINISTRACION,"ADMINISTRACION, COMERCIO"
ALTO PARANA,ADMINISTRACION,PRESENCIAL,Ciencias Sociales,ADMINISTRACION,"ADMINISTRACION, COMERCIO"
ALTO PARANA,ADMINISTRACION,PRESENCIAL,Ciencias Sociales,ADMINISTRACION,"ADMINISTRACION, COMERCIO"
ALTO PARANA,ADMINISTRACION ADUANERA,PRESENCIAL,Ciencias Sociales,ADMINISTRACION,"ADMINISTRACION, COMERCIO"
ALTO PARANA,ADMINISTRACION ADUANERA,PRESENCIAL,Ciencias Sociales,ADMINISTRACION,"ADMINISTRACION, COMERCIO"
ALTO PARANA,ADMINISTRACION ADUANERA,PRESENCIAL,Ciencias Sociales,ADMINISTRACION,"ADMINISTRACION, COMERCIO"
ALTO PARANA,ADMINISTRACION ADUANERA,PRESENCIAL,Ciencias Sociales,ADMINISTRACION,"ADMINISTRACION, COMERCIO"
ALTO PARANA,ADMINISTRACION ADUANERA,PRESENCIAL,Ciencias Sociales,ADMINISTRACION,"ADMINISTRACION, COMERCIO"
ALTO PARANA,ADMINISTRACION ADUANERA,PRESENCIAL,Ciencias Sociales,ADMINISTRACION,"ADMINISTRACION, COMERCIO"
ALTO PARANA,ADMINISTRACION ADUANERA,PRESENCIAL,Ciencias Sociales,ADMINISTRACION,"ADMINISTRACION, COMERCIO"
ALTO PARANA,ADMINISTRACION ADUANERA Y COMERCIO EXTERIOR,PRESENCIAL,Ciencias Sociales,ADMINISTRACION,"ADMINISTRACION, COMERCIO"
ALTO PARANA,ADMINISTRACION ADUANERA Y COMERCIO EXTERIOR,PRESENCIAL,Ciencias Sociales,ADMINISTRACION,"ADMINISTRACION, COMERCIO"
ALTO PARANA,ADMINISTRACION ADUANERA Y COMERCIO EXTERIOR,PRESENCIAL,Ciencias Sociales,ADMINISTRACION,"ADMINISTRACION, COMERCIO"
ALTO PARANA,ADMINISTRACION ADUANERA Y COMERCIO EXTERIOR,PRESENCIAL,Ciencias Sociales,ADMINISTRACION,"ADMINISTRACION, COMERCIO"
