DPTO_NORM,NOMBRE_CARRERA,MODALIDAD,AREA_FRASCATI,AREA_ESTRATEGICA,EJES_ESTRATEGICOS
ALTO PARANA,ANESTESIOLOGIA,PRESENCIAL,Ciencias Medicas y Salud,SIN_CLASIFICAR,
ALTO PARANA,ARTES VISUALES,PRESENCIAL,Humanidades,SIN_CLASIFICAR,
ALTO PARANA,ASISTENCIA Y RESPONSABILIDAD SOCIAL,PRESENCIAL,,SIN_CLASIFICAR,
ALTO PARANA,ASISTENTE DENTAL,PRESENCIAL,,SIN_CLASIFICAR,
ALTO PARANA,"CAPACITACIÓN ""APRENDIZAJE A LO LARGO DE LA VIDA""",PRESENCIAL,,SIN_CLASIFICAR,
ALTO PARANA,CIENCIAS AGRARIAS,PRESENCIAL,Ciencias Agricolas,SIN_CLASIFICAR,
ALTO PARANA,CIENCIAS DE LA COMUNICACION,PRESENCIAL,Ciencias Sociales,SIN_CLASIFICAR,
ALTO PARANA,CIENCIAS DE LA COMUNICACION,PRESENCIAL,Ciencias Sociales,SIN_CLASIFICAR,
ALTO PARANA,CIENCIAS DE LA COMUNICACION Y PERIODISMO,PRESENCIAL,Ciencias Sociales,SIN_CLASIFICAR,
ALTO PARANA,CIENCIAS POLITICAS,PRESENCIAL,,SIN_CLASIFICAR,
ALTO PARANA,CIENCIAS POLITICAS,PRESENCIAL,,SIN_CLASIFICAR,
ALTO PARANA,CIENCIAS SOCIALES,PRESENCIAL,,SIN_CLASIFICAR,
ALTO PARANA,CIENCIAS SOCIALES,PRESENCIAL,,SIN_CLASIFICAR,
ALTO PARANA,CIENCIAS SOCIALES,PRESENCIAL,,SIN_CLASIFICAR,
ALTO PARANA,CIENCIAS SOCIALES,PRESENCIAL,,SIN_CLASIFICAR,
ALTO PARANA,CIENCIAS SOCIALES,PRESENCIAL,,SIN_CLASIFICAR,
ALTO PARANA,CIRUGIA GENERAL,PRESENCIAL,Ciencias Medicas y Salud,SIN_CLASIFICAR,
ALTO PARANA,CIRUGIA ORTOPEDICA Y TRAUMATOLOGIA DE PIE Y TOBILLO,PRESENCIAL,Ciencias Medicas y Salud,SIN_CLASIFICAR,
ALTO PARANA,CLINICA PEDIATRICA,PRESENCIAL,Ciencias Medicas y Salud,SIN_CLASIFICAR,
ALTO PARANA,COMUNICACION PARA EL DESARROLLO,PRESENCIAL,Ciencias Sociales,SIN_CLASIFICAR,
ALTO PARANA,COMUNICACION PARA EL DESARROLLO,PRESENCIAL,Ciencias Sociales,SIN_CLASIFICAR,
ALTO PARANA,COMUNICACIÓN Y GESTIÓN,PRESENCIAL,Ciencias Sociales,SIN_CLASIFICAR,
ALTO PARANA,CUIDADOS INTENSIVOS DEL ADULTO,PRESENCIAL,,SIN_CLASIFICAR,
ALTO PARANA,DANZA,PRESENCIAL,Humanidades,SIN_CLASIFICAR,
ALTO PARANA,"DEFENSA, DESARROLLO Y PLANIFICACIÓN ESTRATÉGICA NACIONAL",PRESENCIAL,,SIN_CLASIFICAR,
ALTO PARANA,DIAGNOSTICO POR IMAGENES,PRESENCIAL,Ciencias Medicas y Salud,SIN_CLASIFICAR,
ALTO PARANA,DISEÑO DE MODAS,PRESENCIAL,Humanidades,SIN_CLASIFICAR,
ALTO PARANA,DISEÑO DE MODAS,PRESENCIAL,Humanidades,SIN_CLASIFICAR,
ALTO PARANA,DISEÑO DE MODAS,PRESENCIAL,Humanidades,SIN_CLASIFICAR,
ALTO PARANA,DISEÑO DE MODAS,PRESENCIAL,Humanidades,SIN_CLASIFICAR,
ALTO PARANA,ENDODONCIA,PRESENCIAL,Ciencias Medicas y Salud,SIN_CLASIFICAR,
ALTO PARANA,ENDODONCIA,PRESENCIAL,Ciencias Medicas y Salud,SIN_CLASIFICAR,
ALTO PARANA,ENDODONCIA,PRESENCIAL,Ciencias Medicas y Salud,SIN_CLASIFICAR,
ALTO PARANA,ENDODONCIA,PRESENCIAL,Ciencias Medicas y Salud,SIN_CLASIFICAR,
ALTO PARANA,ENDODONCIA,PRESENCIAL,Ciencias Medicas y Salud,SIN_CLASIFICAR,
ALTO PARANA,ENTRENAMIENTO DE FUERZA Y ACONDICIONAMIENTO FISICO,PRESENCIAL,Ciencias Naturales,SIN_CLASIFICAR,
