DPTO_NORM,ANIO,PROYECCION_LINEAL,PROYECCION_GEOMETRICA,DIFERENCIA_ABS,DIFERENCIA_PCT_SOBRE_GEOM
ASUNCION,2023,112308.9700000002,101403.72935695898,10905.240643041223,10.75427966229216
ASUNCION,2024,111040.54000000004,99225.28541444933,11815.254585550705,11.907503753907218
ASUNCION,2025,109772.11000000034,97093.6407173003,12678.46928270004,13.057981129387159
ASUNCION,2026,108503.68000000017,95007.78988303513,13495.890116965034,14.205035327713587
ASUNCION,2027,107235.25,92966.7491276862,14268.500872313802,15.347961509030045
ASUNCION,2028,105966.8200000003,90969.55580179671,14997.264198203586,16.486025534607897
ASUNCION,2029,104698.39000000013,89015.26793639072,15683.122063609408,17.61846302009267
ASUNCION,2030,103429.96000000043,87102.96379869684,16326.996201303584,18.74447836130675
ASUNCION,2031,102161.53000000026,85231.7414574163,16929.788542583963,19.863243731846623
ASUNCION,2032,100893.1000000001,83400.71835733033,17492.38164266976,20.973898051721402
CONCEPCION,2023,62046.159999999916,49761.4597346781,12284.700265321815,24.68717825164757
CONCEPCION,2024,62732.11999999988,48231.45451745209,14500.665482547789,30.064748466793308
CONCEPCION,2025,63418.07999999984,46748.49205132743,16669.587948672415,35.65802278792238
CONCEPCION,2026,64104.039999999804,45311.12592265386,18792.914077345944,41.4752749896912
CONCEPCION,2027,64790.0,43917.95419035975,20872.04580964025,47.525086708665015
CONCEPCION,2028,65475.95999999996,42567.61801856299,22908.34198143697,53.81635864954211
CONCEPCION,2029,66161.91999999993,41258.80035122478,24903.119648775144,60.3583221925547
CONCEPCION,2030,66847.87999999989,39990.224627553456,26857.655372446432,67.1605514162113
CONCEPCION,2031,67533.83999999985,38760.65353690561,28773.186463094244,74.23297555005907
CONCEPCION,2032,68219.79999999981,37568.88781196995,30650.912188029863,81.585891872647
SAN PEDRO,2023,107311.3999999999,83967.55708072385,23343.842919276052,27.80102664751101
SAN PEDRO,2024,108642.79999999981,81445.22967037032,27197.570329629496,33.393693454736415
SAN PEDRO,2025,109974.19999999972,78998.67123301316,30975.528766986565,39.21018959372325
SAN PEDRO,2026,111305.6000000001,76625.60572104438,34679.99427895571,45.259014858829666
SAN PEDRO,2027,112637.0,74323.82545775383,38313.17454224617,51.54898083660082
SAN PEDRO,2028,113968.3999999999,72091.1890835147,41877.2109164852,58.089222065642666
SAN PEDRO,2029,115299.79999999981,69925.61956366414,45374.18043633568,64.8892075886786
SAN PEDRO,2030,116631.19999999972,67825.10225622573,48806.09774377399,71.95875291038583
SAN PEDRO,2031,117962.6000000001,65787.68303767634,52174.916962323754,79.30803237506235
SAN PEDRO,2032,119294.0,63811.46648501359,55482.53351498641,86.94759197865596
CORDILLERA,2023,75809.45000000019,64957.036542790556,10852.41345720963,16.707063675943072
CORDILLERA,2024,76558.30000000028,63550.21607683451,13008.083923165766,20.468984570309757
CORDILLERA,2025,77307.15000000014,62173.86411635176,15133.28588364838,24.34026917697772
CORDILLERA,2026,78056.00000000023,60827.320783377596,17228.679216622637,28.32391595542829
CORDILLERA,2027,78804.8500000001,59509.94049139095,19294.90950860914,32.42300252577206
CORDILLERA,2028,79553.70000000019,58221.09163579446,21332.608364205727,36.640687704128155
CORDILLERA,2029,80302.55000000028,56960.156291098094,23342.393708902186,40.98021358931946
CORDILLERA,2030,81051.40000000014,55726.529914661056,25324.870085339084,45.444907702168585
CORDILLERA,2031,81800.25000000023,54519.6210568499,27280.628943150332,50.038185178696814
CORDILLERA,2032,82549.1000000001,53338.851077474086,29210.248922526007,54.76355101855952
GUAIRA,2023,51913.140000000014,40856.080922682384,11057.05907731763,27.06343542407416
GUAIRA,2024,52209.47999999998,39370.23794426084,12839.242055739138,32.611542947534474
GUAIRA,2025,52505.820000000065,37938.43170423089,14567.388295769175,38.39744460007455
GUAIRA,2026,52802.16000000003,36558.69700900317,16243.462990996864,44.43118688556282
GUAIRA,2027,53098.5,35229.14013462097,17869.359865379032,50.72323592655093
GUAIRA,2028,53394.83999999997,33947.93622757186,19446.903772428108,57.284494827799605
GUAIRA,2029,53691.18000000005,32713.326800125877,20977.853199874175,64.1263217527404
GUAIRA,2030,53987.52000000002,31523.617316762513,22463.902683237506,71.26054874195053
GUAIRA,2031,54283.859999999986,30377.174868373997,23906.68513162599,78.69950130390663
GUAIRA,2032,54580.20000000007,29272.425931052447,25307.774068947623,86.45601880949988
CAAGUAZU,2023,133526.1499999999,103414.39696827737,30111.753031722532,29.117563815567564
CAAGUAZU,2024,134692.69999999972,99765.26862050671,34927.431379493006,35.009609919813
CAAGUAZU,2025,135859.25,96244.90510711967,39614.34489288033,41.15993968593967
CAAGUAZU,2026,137025.7999999998,92848.76277248301,44177.037227516805,47.579564776504775
CAAGUAZU,2027,138192.3500000001,89572.45829050228,48619.89170949781,54.27995684992065
CAAGUAZU,2028,139358.8999999999,86411.76300715945,52947.13699284046,61.273066478754345
CAAGUAZU,2029,140525.44999999972,83362.5974826823,57162.85251731743,68.57134283656697
CAAGUAZU,2030,141692.0,80421.02622630136,61270.97377369864,76.18775418419148
CAAGUAZU,2031,142858.5499999998,77583.25261679874,65275.297383201076,84.1358091875969
CAAGUAZU,2032,144025.1000000001,74845.6140022927,69179.4859977074,92.4295791007717
CAAZAPA,2023,41994.09999999998,31067.85762899528,10926.242371004697,35.1689598345763
CAAZAPA,2024,42333.79999999993,29674.17153919883,12659.628460801101,42.66211255157722
CAAZAPA,2025,42673.5,28343.005399766746,14330.494600233254,50.56095639155892
CAAZAPA,2026,43013.19999999995,27071.55460195523,15941.645398044722,58.887070330616865
CAAZAPA,2027,43352.90000000002,25857.140350143487,17495.759649856536,67.66316542718324
CAAZAPA,2028,43692.59999999998,24697.204017929937,18995.39598207004,76.91314356183624
CAAZAPA,2029,44032.29999999993,23589.30175741069,20442.99824258924,86.6621591975141
CAAZAPA,2030,44372.0,22531.09935028264,21840.90064971736,96.93668431426707
CAAZAPA,2031,44711.69999999995,21520.367289923117,23191.332710076837,107.76457668051115
CAAZAPA,2032,45051.40000000002,20554.97608408456,24496.423915915464,119.17515163096061
ITAPUA,2023,143692.9299999997,109171.36184270603,34521.568157293674,31.62145051101617
ITAPUA,2024,145233.85999999987,105431.39172880515,39802.468271194724,37.75200878840358
ITAPUA,2025,146774.78999999957,101819.54474368803,44955.24525631154,44.15188200799571
ITAPUA,2026,148315.71999999974,98331.4316714975,49984.28832850224,50.83246270174134
ITAPUA,2027,149856.6499999999,94962.81366123258,54893.83633876733,57.80561276816619
ITAPUA,2028,151397.5799999996,91709.59707558021,59687.9829244194,65.08368243645101
ITAPUA,2029,152938.50999999978,88567.8285162144,64370.681483785374,72.67952998531608
ITAPUA,2030,154479.43999999948,85533.69001951789,68945.74998048159,80.60654224639308
ITAPUA,2031,156020.36999999965,82603.49441688758,73416.87558311207,88.87865592294195
ITAPUA,2032,157561.2999999998,79773.6808539859,77787.61914601391,97.51037975594082
MISIONES,2023,31675.650000000023,26527.829224962912,5147.820775037111,19.40536005182425
MISIONES,2024,31955.70000000007,25916.097937276143,6039.602062723927,23.3044421939652
MISIONES,2025,32235.75,25318.473162608643,6917.276837391357,27.32106629402548
MISIONES,2026,32515.800000000047,24734.629605011738,7781.1703949883085,31.45860891893722
MISIONES,2027,32795.84999999998,24164.249469855753,8631.600530144224,35.72054054859809
MISIONES,2028,33075.90000000002,23607.02229084975,9468.877709150274,40.11042812807645
MISIONES,2029,33355.95000000007,23062.644761050113,10293.305238949957,44.63193768797083
MISIONES,2030,33636.0,22530.820567766186,11105.179432233814,49.288837034730484
