DPTO_NORM,CLUSTER_KM,CLUSTER_LABEL,CLUSTER_HAC,CLUSTER_HAC_LABEL,COINCIDE_KM_HAC,SILUETA_K3,CONCORDANCIA_GLOBAL
ASUNCION,2,Alta Cobertura,3,Alta Cobertura,True,0.3200384945401389,0.7222222222222222
CONCEPCION,0,Alta Suboferta,2,Alta Suboferta,True,0.3200384945401389,0.7222222222222222
SAN PEDRO,0,Alta Suboferta,2,Alta Suboferta,True,0.3200384945401389,0.7222222222222222
CORDILLERA,0,Alta Suboferta,2,Alta Suboferta,True,0.3200384945401389,0.7222222222222222
GUAIRA,1,Cobertura Media,2,Alta Suboferta,False,0.3200384945401389,0.7222222222222222
CAAGUAZU,1,Cobertura Media,2,Alta Suboferta,False,0.3200384945401389,0.7222222222222222
CAAZAPA,0,Alta Suboferta,2,Alta Suboferta,True,0.3200384945401389,0.7222222222222222
ITAPUA,1,Cobertura Media,2,Alta Suboferta,False,0.3200384945401389,0.7222222222222222
MISIONES,1,Cobertura Media,1,Cobertura Media,True,0.3200384945401389,0.7222222222222222
PARAGUARI,1,Cobertura Media,2,Alta Suboferta,False,0.3200384945401389,0.7222222222222222
ALTO PARANA,0,Alta Suboferta,2,Alta Suboferta,True,0.3200384945401389,0.7222222222222222
CENTRAL,0,Alta Suboferta,2,Alta Suboferta,True,0.3200384945401389,0.7222222222222222
NEEMBUCU,1,Cobertura Media,1,Cobertura Media,True,0.3200384945401389,0.7222222222222222
AMAMBAY,0,Alta Suboferta,2,Alta Suboferta,True,0.3200384945401389,0.7222222222222222
CANINDEYU,0,Alta Suboferta,2,Alta Suboferta,True,0.3200384945401389,0.7222222222222222
PRESIDENTE HAYES,0,Alta Suboferta,2,Alta Suboferta,True,0.3200384945401389,0.7222222222222222
BOQUERON,1,Cobertura Media,2,Alta Suboferta,False,0.3200384945401389,0.7222222222222222
ALTO PARAGUAY,0,Alta Suboferta,2,Alta Suboferta,True,0.3200384945401389,0.7222222222222222
