DPTO_NORM,CARRERAS_CLASIFICADAS,AREAS_UNICAS,HHI,DIVERSIDAD
ASUNCION,2300,6,0.4595939508506617,0.5404060491493383
CONCEPCION,356,5,0.5801508647897993,0.41984913521020073
SAN PEDRO,580,6,0.48315695600475617,0.5168430439952438
CORDILLERA,399,6,0.4825786270186745,0.5174213729813255
GUAIRA,407,6,0.4904768516562129,0.5095231483437871
CAAGUAZU,896,6,0.5155378069196428,0.4844621930803572
CAAZAPA,254,5,0.5793291586583175,0.42067084134168253
ITAPUA,1201,6,0.5200599555879398,0.4799400444120602
MISIONES,333,6,0.4888041194347501,0.5111958805652499
PARAGUARI,410,6,0.6116240333135039,0.3883759666864961
ALTO PARANA,1230,6,0.46443915658668783,0.5355608434133121
CENTRAL,2075,6,0.38988323414138487,0.6101167658586151
NEEMBUCU,180,5,0.6084567901234569,0.3915432098765431
AMAMBAY,231,4,0.5735087423399111,0.4264912576600889
CANINDEYU,148,5,0.5518626734842952,0.4481373265157048
PRESIDENTE HAYES,97,5,0.6900839621638857,0.3099160378361143
BOQUERON,133,4,0.5007066538526768,0.49929334614732324
ALTO PARAGUAY,2,1,1.0,0.0
