ESCENARIO,FACTOR,P_HAT_ESCENARIO,DPTO_NORM,POB_15_29_EST,IC_PRES,CUARTIL,CUARTIL_ESTABLE
p_hat_menos_10,0.9,0.2295680144185595,ASUNCION,106115.74855284937,250.85814653366276,Q4,True
p_hat_menos_10,0.9,0.2295680144185595,CONCEPCION,47332.56278083302,75.21249201071353,Q2,True
p_hat_menos_10,0.9,0.2295680144185595,SAN PEDRO,81536.81952111187,70.39764407923434,Q2,True
p_hat_menos_10,0.9,0.2295680144185595,CORDILLERA,61532.72188070743,67.93133591755787,Q2,True
p_hat_menos_10,0.9,0.2295680144185595,GUAIRA,41220.08482892445,99.46607380882918,Q4,True
p_hat_menos_10,0.9,0.2295680144185595,CAAGUAZU,99062.96001388237,95.79766240247717,Q3,True
p_hat_menos_10,0.9,0.2295680144185595,CAAZAPA,32019.91708308626,82.13637759197175,Q3,True
p_hat_menos_10,0.9,0.2295680144185595,ITAPUA,103223.42113918993,114.70265051605436,Q4,True
p_hat_menos_10,0.9,0.2295680144185595,MISIONES,25514.64825850754,133.64871682536238,Q4,True
p_hat_menos_10,0.9,0.2295680144185595,PARAGUARI,46021.958986517464,91.04349515472596,Q3,True
p_hat_menos_10,0.9,0.2295680144185595,ALTO PARANA,175321.55174748274,72.09609927594931,Q2,True
p_hat_menos_10,0.9,0.2295680144185595,CENTRAL,432489.38069951354,52.903033047871865,Q1,True
p_hat_menos_10,0.9,0.2295680144185595,NEEMBUCU,17612.22849817747,96.52384422425122,Q4,True
p_hat_menos_10,0.9,0.2295680144185595,AMAMBAY,41187.256602862595,61.183973098729155,Q1,True
p_hat_menos_10,0.9,0.2295680144185595,CANINDEYU,43873.66150758858,33.2773684673542,Q1,True
p_hat_menos_10,0.9,0.2295680144185595,PRESIDENTE HAYES,28308.72056199583,36.38454792558745,Q1,True
p_hat_menos_10,0.9,0.2295680144185595,BOQUERON,16317.235328842373,88.25024405051347,Q3,True
p_hat_menos_10,0.9,0.2295680144185595,ALTO PARAGUAY,3947.422007927131,5.066597885869921,Q1,True
p_hat_base,1.0,0.2550755715761772,ASUNCION,117906.38728094373,225.77233188029652,Q4,True
p_hat_base,1.0,0.2550755715761772,CONCEPCION,52591.73642314779,67.69124280964219,Q2,True
p_hat_base,1.0,0.2550755715761772,SAN PEDRO,90596.46613456875,63.357879671310904,Q2,True
p_hat_base,1.0,0.2550755715761772,CORDILLERA,68369.69097856381,61.138202325802084,Q2,True
p_hat_base,1.0,0.2550755715761772,GUAIRA,45800.0942543605,89.51946642794628,Q4,True
p_hat_base,1.0,0.2550755715761772,CAAGUAZU,110069.95557098041,86.21789616222947,Q3,True
p_hat_base,1.0,0.2550755715761772,CAAZAPA,35577.68564787362,73.92273983277458,Q3,True
p_hat_base,1.0,0.2550755715761772,ITAPUA,114692.69015465547,103.23238546444892,Q4,True
p_hat_base,1.0,0.2550755715761772,MISIONES,28349.609176119488,120.28384514282617,Q4,True
p_hat_base,1.0,0.2550755715761772,PARAGUARI,51135.5099850194,81.93914563925337,Q3,True
p_hat_base,1.0,0.2550755715761772,ALTO PARANA,194801.7241638697,64.88648934835439,Q2,True
p_hat_base,1.0,0.2550755715761772,CENTRAL,480543.7563327928,47.61272974308468,Q1,True
p_hat_base,1.0,0.2550755715761772,NEEMBUCU,19569.14277575274,86.8714598018261,Q4,True
p_hat_base,1.0,0.2550755715761772,AMAMBAY,45763.61844762511,55.065575788856236,Q1,True
p_hat_base,1.0,0.2550755715761772,CANINDEYU,48748.51278620953,29.94963162061878,Q1,True
p_hat_base,1.0,0.2550755715761772,PRESIDENTE HAYES,31454.13395777314,32.7460931330287,Q1,True
p_hat_base,1.0,0.2550755715761772,BOQUERON,18130.261476491523,79.42521964546215,Q3,True
p_hat_base,1.0,0.2550755715761772,ALTO PARAGUAY,4386.0244532523675,4.559938097282929,Q1,True
p_hat_mas_10,1.1,0.280583128733795,ASUNCION,129697.02600903813,205.24757443663316,Q4,True
p_hat_mas_10,1.1,0.280583128733795,CONCEPCION,57850.91006546259,61.53749346331106,Q2,True
p_hat_mas_10,1.1,0.280583128733795,SAN PEDRO,99656.11274802564,57.59807242846445,Q2,True
p_hat_mas_10,1.1,0.280583128733795,CORDILLERA,75206.6600764202,55.58018393254735,Q2,True
p_hat_mas_10,1.1,0.280583128733795,GUAIRA,50380.10367979656,81.38133311631478,Q4,True
p_hat_mas_10,1.1,0.280583128733795,CAAGUAZU,121076.95112807848,78.37990560202677,Q3,True
p_hat_mas_10,1.1,0.280583128733795,CAAZAPA,39135.45421266099,67.20249075706779,Q3,True
p_hat_mas_10,1.1,0.280583128733795,ITAPUA,126161.95917012104,93.84762314949901,Q4,True
p_hat_mas_10,1.1,0.280583128733795,MISIONES,31184.570093731443,109.34895012984194,Q4,True
p_hat_mas_10,1.1,0.280583128733795,PARAGUARI,56249.06098352135,74.49013239932124,Q3,True
p_hat_mas_10,1.1,0.280583128733795,ALTO PARANA,214281.8965802567,58.98771758941307,Q2,True
p_hat_mas_10,1.1,0.280583128733795,CENTRAL,528598.1319660721,43.28429976644062,Q1,True
p_hat_mas_10,1.1,0.280583128733795,NEEMBUCU,21526.05705332802,78.97405436529645,Q4,True
p_hat_mas_10,1.1,0.280583128733795,AMAMBAY,50339.98029238763,50.05961435350567,Q1,True
p_hat_mas_10,1.1,0.280583128733795,CANINDEYU,53623.36406483049,27.22693783692616,Q1,True
p_hat_mas_10,1.1,0.280583128733795,PRESIDENTE HAYES,34599.547353550464,29.76917557548063,Q1,True
p_hat_mas_10,1.1,0.280583128733795,BOQUERON,19943.28762414068,72.20474513223829,Q3,True
p_hat_mas_10,1.1,0.280583128733795,ALTO PARAGUAY,4824.626898577605,4.145398270257208,Q1,True
