DPTO_NORM,AREAS_REQUERIDAS,AREAS_CUBIERTAS,AREAS_FALTANTES,SCORE_PERTINENCIA
ASUNCION,"ADMINISTRACION, DERECHO, EDUCACION, SALUD, TECNOLOGIA","ADMINISTRACION, DERECHO, EDUCACION, SALUD, TECNOLOGIA",,1.0
CONCEPCION,"AMBIENTE, FORESTAL, INDUSTRIA, INGENIERIA, LOGISTICA","AMBIENTE, FORESTAL, INDUSTRIA, INGENIERIA, LOGISTICA",,1.0
SAN PEDRO,"AGROINDUSTRIA, AGRONOMIA, AMBIENTE, VETERINARIA","AGROINDUSTRIA, AGRONOMIA, AMBIENTE, VETERINARIA",,1.0
CORDILLERA,"ADMINISTRACION, TECNOLOGIA, TURISMO","ADMINISTRACION, TECNOLOGIA, TURISMO",,1.0
GUAIRA,"AGRONOMIA, AMBIENTE, INDUSTRIA, TURISMO","AGRONOMIA, AMBIENTE, INDUSTRIA, TURISMO",,1.0
CAAGUAZU,"AGROINDUSTRIA, AGRONOMIA, LOGISTICA, VETERINARIA","AGROINDUSTRIA, AGRONOMIA, LOGISTICA, VETERINARIA",,1.0
CAAZAPA,"AGRONOMIA, AMBIENTE, EDUCACION, FORESTAL","AGRONOMIA, AMBIENTE, EDUCACION, FORESTAL",,1.0
ITAPUA,"AGRONOMIA, COMERCIO, SALUD, TECNOLOGIA","AGRONOMIA, COMERCIO, SALUD, TECNOLOGIA",,1.0
MISIONES,"AGROINDUSTRIA, GANADERIA, VETERINARIA","GANADERIA, VETERINARIA",AGROINDUSTRIA,0.6666666666666666
PARAGUARI,"ADMINISTRACION, AGROINDUSTRIA, TURISMO","ADMINISTRACION, AGROINDUSTRIA, TURISMO",,1.0
ALTO PARANA,"COMERCIO, INDUSTRIA, LOGISTICA, TECNOLOGIA","COMERCIO, INDUSTRIA, LOGISTICA, TECNOLOGIA",,1.0
CENTRAL,"ADMINISTRACION, INDUSTRIA, SALUD, TECNOLOGIA","ADMINISTRACION, INDUSTRIA, SALUD, TECNOLOGIA",,1.0
NEEMBUCU,"AGROINDUSTRIA, AMBIENTE, TURISMO",AMBIENTE,"AGROINDUSTRIA, TURISMO",0.3333333333333333
AMAMBAY,"AGRONOMIA, COMERCIO, LOGISTICA","AGRONOMIA, COMERCIO, LOGISTICA",,1.0
CANINDEYU,"AGRONOMIA, AMBIENTE, LOGISTICA, VETERINARIA","AGRONOMIA, AMBIENTE, LOGISTICA, VETERINARIA",,1.0
PRESIDENTE HAYES,"AMBIENTE, GANADERIA, LOGISTICA, VETERINARIA","AMBIENTE, GANADERIA, LOGISTICA, VETERINARIA",,1.0
BOQUERON,"AGROINDUSTRIA, AMBIENTE, GANADERIA, LOGISTICA","AMBIENTE, GANADERIA, LOGISTICA",AGROINDUSTRIA,0.75
ALTO PARAGUAY,"AMBIENTE, GANADERIA, LOGISTICA",GANADERIA,"AMBIENTE, LOGISTICA",0.3333333333333333
