DPTO_NORM,N_CENSOS_USADOS,POB_JOVEN_2022,BETA0,BETA1,R2,RMSE,TASA_GEOMETRICA,POB_JOVEN_1982,POB_JOVEN_1992,POB_JOVEN_2002,POB_JOVEN_2012,POY_2023_LIN,POY_2023_GEOM,POY_2024_LIN,POY_2024_GEOM,POY_2025_LIN,POY_2025_GEOM,POY_2026_LIN,POY_2026_GEOM,POY_2027_LIN,POY_2027_GEOM,POY_2028_LIN,POY_2028_GEOM,POY_2029_LIN,POY_2029_GEOM,POY_2030_LIN,POY_2030_GEOM,POY_2031_LIN,POY_2031_GEOM,POY_2032_LIN,POY_2032_GEOM
ASUNCION,5,103630.0,2678342.8600000003,-1268.43,0.7806186434130992,9509.59238979262,-0.021482877960446012,156210.0,150449.0,155675.0,128766.0,112308.9700000002,101403.72935695898,111040.54000000004,99225.28541444933,109772.11000000034,97093.6407173003,108503.68000000017,95007.78988303513,107235.25,92966.7491276862,105966.8200000003,90969.55580179671,104698.39000000013,89015.26793639072,103429.96000000043,87102.96379869684,102161.53000000026,85231.7414574163,100893.1000000001,83400.71835733033
CONCEPCION,5,51340.0,-1325650.92,685.9599999999999,0.5676443058490888,8466.350387268443,-0.030746791299608445,33157.0,37929.0,45620.0,70159.0,62046.159999999916,49761.4597346781,62732.11999999988,48231.45451745209,63418.07999999984,46748.49205132743,64104.039999999804,45311.12592265386,64790.0,43917.95419035975,65475.95999999996,42567.61801856299,66161.91999999993,41258.80035122478,66847.87999999989,39990.224627553456,67533.83999999985,38760.65353690561,68219.79999999981,37568.88781196995
SAN PEDRO,5,86568.0,-2586110.8,1331.3999999999999,0.6298279772549544,14434.919701889581,-0.03003930920520459,45783.0,65870.0,81099.0,117440.0,107311.3999999999,83967.55708072385,108642.79999999981,81445.22967037032,109974.19999999972,78998.67123301316,111305.6000000001,76625.60572104438,112637.0,74323.82545775383,113968.3999999999,72091.1890835147,115299.79999999981,69925.61956366414,116631.19999999972,67825.10225622573,117962.6000000001,65787.68303767634,119294.0,63811.46648501359
CORDILLERA,5,66395.0,-1439114.0999999999,748.85,0.5713448811666031,9173.069177761607,-0.021657707014224648,49048.0,42456.0,59872.0,82647.0,75809.45000000019,64957.036542790556,76558.30000000028,63550.21607683451,77307.15000000014,62173.86411635176,78056.00000000023,60827.320783377596,78804.8500000001,59509.94049139095,79553.70000000019,58221.09163579446,80302.55000000028,56960.156291098094,81051.40000000014,55726.529914661056,81800.25000000023,54519.6210568499,82549.1000000001,53338.851077474086
GUAIRA,5,42398.0,-547582.68,296.34000000000003,0.24235868346218525,7409.822540385162,-0.036367731433502026,39354.0,37863.0,47426.0,61409.0,51913.140000000014,40856.080922682384,52209.47999999998,39370.23794426084,52505.820000000065,37938.43170423089,52802.16000000003,36558.69700900317,53098.5,35229.14013462097,53394.83999999997,33947.93622757186,53691.18000000005,32713.326800125877,53987.52000000002,31523.617316762513,54283.859999999986,30377.174868373997,54580.20000000007,29272.425931052447
CAAGUAZU,5,107197.0,-2226404.5,1166.55,0.43295555078710324,18880.14179342941,-0.035286463536504,78945.0,93381.0,112088.0,153532.0,133526.1499999999,103414.39696827737,134692.69999999972,99765.26862050671,135859.25,96244.90510711967,137025.7999999998,92848.76277248301,138192.3500000001,89572.45829050228,139358.8999999999,86411.76300715945,140525.44999999972,83362.5974826823,141692.0,80421.02622630136,142858.5499999998,77583.25261679874,144025.1000000001,74845.6140022927
CAAZAPA,5,32527.0,-645219.0000000001,339.70000000000005,0.29915694002345017,7353.115573687116,-0.044859420512334935,27259.0,28038.0,35006.0,51472.0,41994.09999999998,31067.85762899528,42333.79999999993,29674.17153919883,42673.5,28343.005399766746,43013.19999999995,27071.55460195523,43352.90000000002,25857.140350143487,43692.59999999998,24697.204017929937,44032.29999999993,23589.30175741069,44372.0,22531.09935028264,44711.69999999995,21520.367289923117,45051.40000000002,20554.97608408456
ITAPUA,5,113044.0,-2973608.4600000004,1540.93,0.5175379494855041,21040.612929760322,-0.03425779481700908,71184.0,89817.0,122432.0,160190.0,143692.9299999997,109171.36184270603,145233.85999999987,105431.39172880515,146774.78999999957,101819.54474368803,148315.71999999974,98331.4316714975,149856.6499999999,94962.81366123258,151397.5799999996,91709.59707558021,152938.50999999978,88567.8285162144,154479.43999999948,85533.69001951789,156020.36999999965,82603.49441688758,157561.2999999998,79773.6808539859
MISIONES,5,27154.0,-534865.5,280.05,0.5518720199453697,3568.8838787497693,-0.023059982876816987,20436.0,19720.0,27374.0,34289.0,31675.650000000023,26527.829224962912,31955.70000000007,25916.097937276143,32235.75,25318.473162608643,32515.800000000047,24734.629605011738,32795.84999999998,24164.249469855753,33075.90000000002,23607.02229084975,33355.95000000007,23062.644761050113,33636.0,22530.820567766186,33916.05000000005,22011.260231272863,34196.09999999998,21503.68094724255
PARAGUARI,5,44984.0,-228770.82,140.91,0.040658272921343275,9679.858675621257,-0.04491650108323719,51704.0,43696.0,55044.0,71227.0,56290.109999999986,42963.47611527166,56431.01999999996,41033.707093800425,56571.92999999999,39190.6165446725,56712.83999999997,37430.31117419099,56853.75,35749.07256178953,56994.659999999974,34143.34930534319,57135.57000000001,32609.74951928439,57276.47999999998,31145.03366967736,57417.390000000014,29746.10773111584,57558.29999999999,28410.016650989084
