DPTO_NORM,C_TOTAL,C_PRES,C_SEMI,C_VIRT,C_OTRA,POB_TOTAL,POB_15_29_EST,P_HAT_REFERENCIA_LEGADO,IC_TOTAL,IC_PRES,IC_SEMI,IC_VIRT,BRECHA_MEDIANA,CUARTIL,NIVEL_CUARTIL,CARRERAS_CLASIFICADAS,AREAS_UNICAS,HHI,DIVERSIDAD,AREAS_REQUERIDAS,AREAS_CUBIERTAS,AREAS_FALTANTES,SCORE_PERTINENCIA,Z_IC_PRES,CLUSTER_KM,CLUSTER_LABEL,CLUSTER_HAC,CLUSTER_HAC_LABEL,COINCIDE_KM_HAC,POB_JOVEN_2022,POY_2032_LIN,COBERTURA_N,BRECHA_PERTINENCIA,PERTINENCIA_N,CRECIMIENTO_REL_2032,CRECIMIENTO_N,IPTE,RANK_IPTE
ALTO PARAGUAY,2,2,0,0,0,17195,4373.0,0.2550755715761772,4.5735193231191404,4.5735193231191404,0.0,0.0,-67.37789085288955,Q1,Cobertura muy baja,2,1,1.0,0.0,"AMBIENTE, GANADERIA, LOGISTICA",GANADERIA,"AMBIENTE, LOGISTICA",0.3333333333333333,-1.4188236490269612,0,Alta Suboferta,2,Alta Suboferta,True,4373.0,5039.899999999994,1.0,0.6666666666666667,1.0,0.1525040018294064,0.38725759160603834,0.7957525305353461,1
NEEMBUCU,191,170,17,4,0,76719,16145.0,0.2550755715761772,118.30288014865283,105.29575720037163,10.529575720037164,2.4775472282440383,33.34434702436293,Q4,Alta cobertura,180,5,0.6084567901234569,0.3915432098765431,"AGROINDUSTRIA, AMBIENTE, TURISMO",AMBIENTE,"AGROINDUSTRIA, TURISMO",0.3333333333333333,0.4625269696168928,0,Alta Suboferta,2,Alta Suboferta,True,16145.0,19025.2,0.600786848062873,0.6666666666666667,1.0,0.17839578816971202,0.4530053142903323,0.6845973874510684,2
SAN PEDRO,622,574,36,4,8,355175,86568.0,0.2550755715761772,71.85103040384438,66.30625635338693,4.158580537843083,0.46206450420478695,-5.645153822621765,Q2,Cobertura baja,580,6,0.48315695600475617,0.5168430439952438,"AGROINDUSTRIA, AGRONOMIA, AMBIENTE, VETERINARIA","AGROINDUSTRIA, AGRONOMIA, AMBIENTE, VETERINARIA",,1.0,-0.2657424084769794,0,Alta Suboferta,2,Alta Suboferta,True,86568.0,119294.0,0.7553219522624922,0.0,0.0,0.37803807411514645,0.959962442696947,0.5717614649864797,3
MISIONES,382,341,25,6,10,111142,27154.0,0.2550755715761772,140.67908963688592,125.58002504235104,9.20674670398468,2.209619208956323,53.628614866342346,Q4,Alta cobertura,333,6,0.4888041194347501,0.5111958805652499,"AGROINDUSTRIA, GANADERIA, VETERINARIA","GANADERIA, VETERINARIA",AGROINDUSTRIA,0.6666666666666666,0.8414087404900976,0,Alta Suboferta,2,Alta Suboferta,True,27154.0,34196.09999999998,0.5203900392687513,0.33333333333333337,0.5,0.2593393238565212,0.6585474529236208,0.5596458307307907,4
CAAZAPA,290,263,23,2,2,139479,32527.0,0.2550755715761772,89.15670058720447,80.85590432563716,7.071048667261045,0.6148737971531344,8.904494149628462,Q3,Cobertura media,254,5,0.5793291586583175,0.42067084134168253,"AGRONOMIA, AMBIENTE, EDUCACION, FORESTAL","AGRONOMIA, AMBIENTE, EDUCACION, FORESTAL",,1.0,0.006024678817109478,0,Alta Suboferta,2,Alta Suboferta,True,32527.0,45051.40000000002,0.6976543413258072,0.0,0.0,0.3850462692532365,0.977758544688538,0.5584709620047817,5
CANINDEYU,161,146,11,3,1,191114,51743.0,0.2550755715761772,31.11531994665945,28.216377094486212,2.125891424927043,0.5797885704346482,-43.73503308152248,Q1,Cobertura muy baja,148,5,0.5518626734842952,0.4481373265157048,"AGRONOMIA, AMBIENTE, LOGISTICA, VETERINARIA","AGRONOMIA, AMBIENTE, LOGISTICA, VETERINARIA",,1.0,-0.9772081127550477,0,Alta Suboferta,2,Alta Suboferta,True,51743.0,67267.69999999995,0.9062914012771326,0.0,0.0,0.30003478731422517,0.7618865586446036,0.5560593199739121,6
CENTRAL,2461,2288,106,15,52,1883927,495995.0,0.2550755715761772,49.617435659633664,46.129497273157995,2.137118317724977,0.3024224034516477,-25.8219129028507,Q1,Cobertura muy baja,2075,6,0.38988323414138487,0.6101167658586151,"ADMINISTRACION, INDUSTRIA, SALUD, TECNOLOGIA","ADMINISTRACION, INDUSTRIA, SALUD, TECNOLOGIA",,1.0,-0.6426160659514788,1,Cobertura Media,1,Cobertura Media,True,495995.0,653758.6999999993,0.8352926494794309,0.0,0.0,0.3180751822094966,0.8076970278451407,0.5476632257748572,7
ITAPUA,1314,1184,89,10,31,449642,113044.0,0.2550755715761772,116.23792505573051,104.73797813240861,7.8730405859665265,0.8846113017939917,32.78656795639992,Q4,Alta cobertura,1201,6,0.5200599555879398,0.4799400444120602,"AGRONOMIA, COMERCIO, SALUD, TECNOLOGIA","AGRONOMIA, COMERCIO, SALUD, TECNOLOGIA",,1.0,0.45210843626522473,1,Cobertura Media,1,Cobertura Media,True,113044.0,157561.2999999998,0.6029976085115976,0.0,0.0,0.393805067053535,1.0,0.5343325361705326,8
CONCEPCION,384,356,16,2,10,206181,51340.0,0.2550755715761772,74.79548110634983,69.34164394234516,3.1164783794312423,0.3895597974289053,-2.609766233663535,Q2,Cobertura baja,356,5,0.5801508647897993,0.41984913521020073,"AMBIENTE, FORESTAL, INDUSTRIA, INGENIERIA, LOGISTICA","AMBIENTE, FORESTAL, INDUSTRIA, INGENIERIA, LOGISTICA",,1.0,-0.20904561104015285,0,Alta Suboferta,2,Alta Suboferta,True,51340.0,68219.79999999981,0.743291176613766,0.0,0.0,0.32878457343201817,0.8348916784946351,0.5260609517028003,9
CAAGUAZU,1009,949,50,8,2,431519,107197.0,0.2550755715761772,94.12576844501245,88.52859688237544,4.664309635530845,0.7462895416849351,16.577186706366746,Q3,Cobertura media,896,6,0.5155378069196428,0.4844621930803572,"AGROINDUSTRIA, AGRONOMIA, LOGISTICA, VETERINARIA","AGROINDUSTRIA, AGRONOMIA, LOGISTICA, VETERINARIA",,1.0,0.14933985124085214,1,Cobertura Media,1,Cobertura Media,True,107197.0,144025.1000000001,0.6672435815574145,0.0,0.0,0.3435553233765879,0.8723994486589071,0.5132143434054405,10
ALTO PARANA,1352,1264,60,3,25,763702,204454.0,0.2550755715761772,66.12734404804993,61.82319739403484,2.9346454459193754,0.14673227229596877,-10.12821278197385,Q2,Cobertura baja,1230,6,0.46443915658668783,0.5355608434133121,"COMERCIO, INDUSTRIA, LOGISTICA, TECNOLOGIA","COMERCIO, INDUSTRIA, LOGISTICA, TECNOLOGIA",,1.0,-0.3494796836244246,1,Cobertura Media,1,Cobertura Media,True,204454.0,265790.89999999944,0.7730905814669383,0.0,0.0,0.30000342375301753,0.7618069162940307,0.5116324992536564,11
BOQUERON,153,144,5,2,2,71078,19313.0,0.2550755715761772,79.22124993527676,74.56117640967224,2.588929736446953,1.035571894578781,2.6097662336635494,Q3,Cobertura media,133,4,0.5007066538526768,0.49929334614732324,"AGROINDUSTRIA, AMBIENTE, GANADERIA, LOGISTICA","AMBIENTE, GANADERIA, LOGISTICA",AGROINDUSTRIA,0.75,-0.11155204017247033,0,Alta Suboferta,2,Alta Suboferta,True,19313.0,22385.199999999953,0.7226035305503498,0.25,0.37499999999999994,0.15907419872624415,0.4039414726591599,0.5005150010698366,12
PRESIDENTE HAYES,113,103,8,1,1,123313,32994.0,0.2550755715761772,34.24865126992786,31.217797175243984,2.4246832757471055,0.3030854094683882,-40.733613000764706,Q1,Cobertura muy baja,97,5,0.6900839621638857,0.3099160378361143,"AMBIENTE, GANADERIA, LOGISTICA, VETERINARIA","AMBIENTE, GANADERIA, LOGISTICA, VETERINARIA",,1.0,-0.9211457808931878,0,Alta Suboferta,2,Alta Suboferta,True,32994.0,40746.59999999986,0.8943952560367249,0.0,0.0,0.23496999454445838,0.5966657470979566,0.4970203343782272,13
CORDILLERA,434,418,15,1,0,268037,66395.0,0.2550755715761772,65.36636794939379,62.95654793282627,2.2592062655320433,0.15061375103546953,-8.994862243182425,Q2,Cobertura baja,399,6,0.4825786270186745,0.5174213729813255,"ADMINISTRACION, TECNOLOGIA, TURISMO","ADMINISTRACION, TECNOLOGIA, TURISMO",,1.0,-0.32831027970496357,0,Alta Suboferta,2,Alta Suboferta,True,66395.0,82549.1000000001,0.7685985402814361,0.0,0.0,0.24330295956020925,0.6178258735485848,0.4621414712766736,14
GUAIRA,449,410,26,5,8,179555,42398.0,0.2550755715761772,105.9012217557432,96.70267465446483,6.1323647341855745,1.1793009104203027,24.751264478456136,Q4,Alta cobertura,407,6,0.4904768516562129,0.5095231483437871,"AGRONOMIA, AMBIENTE, INDUSTRIA, TURISMO","AGRONOMIA, AMBIENTE, INDUSTRIA, TURISMO",,1.0,0.3020201986742013,0,Alta Suboferta,2,Alta Suboferta,True,42398.0,54580.20000000007,0.6348455786898473,0.0,0.0,0.2873295910184459,0.7296239054724644,0.4548231613874372,15
