DPTO_NORM,AREA_FRASCATI,CARRERAS_AREA
ALTO PARAGUAY,Ciencias Sociales,2
ALTO PARANA,Ciencias Agricolas,12
ALTO PARANA,Ciencias Medicas y Salud,265
ALTO PARANA,Ciencias Naturales,33
ALTO PARANA,Ciencias Sociales,786
ALTO PARANA,Humanidades,20
ALTO PARANA,Ingenieria y Tecnologia,114
AMAMBAY,Ciencias Medicas y Salud,43
AMAMBAY,Ciencias Naturales,12
AMAMBAY,Ciencias Sociales,169
AMAMBAY,Ingenieria y Tecnologia,7
ASUNCION,Ciencias Agricolas,7
ASUNCION,Ciencias Medicas y Salud,534
ASUNCION,Ciencias Naturales,66
ASUNCION,Ciencias Sociales,1453
ASUNCION,Humanidades,91
ASUNCION,Ingenieria y Tecnologia,149
BOQUERON,Ciencias Medicas y Salud,42
BOQUERON,Ciencias Naturales,1
BOQUERON,Ciencias Sociales,84
BOQUERON,Ingenieria y Tecnologia,6
CAAGUAZU,Ciencias Agricolas,26
CAAGUAZU,Ciencias Medicas y Salud,145
CAAGUAZU,Ciencias Naturales,14
CAAGUAZU,Ciencias Sociales,620
CAAGUAZU,Humanidades,4
CAAGUAZU,Ingenieria y Tecnologia,87
CAAZAPA,Ciencias Agricolas,2
CAAZAPA,Ciencias Medicas y Salud,47
CAAZAPA,Ciencias Naturales,13
CAAZAPA,Ciencias Sociales,187
CAAZAPA,Ingenieria y Tecnologia,5
CANINDEYU,Ciencias Agricolas,5
CANINDEYU,Ciencias Medicas y Salud,23
CANINDEYU,Ciencias Naturales,6
CANINDEYU,Ciencias Sociales,107
CANINDEYU,Ingenieria y Tecnologia,7
CENTRAL,Ciencias Agricolas,23
CENTRAL,Ciencias Medicas y Salud,596
CENTRAL,Ciencias Naturales,80
CENTRAL,Ciencias Sociales,1129
CENTRAL,Humanidades,48
CENTRAL,Ingenieria y Tecnologia,199
CONCEPCION,Ciencias Agricolas,5
CONCEPCION,Ciencias Medicas y Salud,76
CONCEPCION,Ciencias Naturales,10
CONCEPCION,Ciencias Sociales,260
CONCEPCION,Ingenieria y Tecnologia,5
CORDILLERA,Ciencias Agricolas,7
CORDILLERA,Ciencias Medicas y Salud,127
CORDILLERA,Ciencias Naturales,9
CORDILLERA,Ciencias Sociales,246
CORDILLERA,Humanidades,6
CORDILLERA,Ingenieria y Tecnologia,4
GUAIRA,Ciencias Agricolas,6
GUAIRA,Ciencias Medicas y Salud,105
GUAIRA,Ciencias Naturales,9
GUAIRA,Ciencias Sociales,264
GUAIRA,Humanidades,3
GUAIRA,Ingenieria y Tecnologia,20
ITAPUA,Ciencias Agricolas,15
ITAPUA,Ciencias Medicas y Salud,220
ITAPUA,Ciencias Naturales,36
ITAPUA,Ciencias Sociales,834
ITAPUA,Humanidades,43
ITAPUA,Ingenieria y Tecnologia,53
MISIONES,Ciencias Agricolas,3
MISIONES,Ciencias Medicas y Salud,78
MISIONES,Ciencias Naturales,12
MISIONES,Ciencias Sociales,218
MISIONES,Humanidades,1
MISIONES,Ingenieria y Tecnologia,21
NEEMBUCU,Ciencias Medicas y Salud,22
NEEMBUCU,Ciencias Naturales,11
NEEMBUCU,Ciencias Sociales,138
NEEMBUCU,Humanidades,1
NEEMBUCU,Ingenieria y Tecnologia,8
PARAGUARI,Ciencias Agricolas,1
PARAGUARI,Ciencias Medicas y Salud,85
PARAGUARI,Ciencias Naturales,9
PARAGUARI,Ciencias Sociales,309
PARAGUARI,Humanidades,1
PARAGUARI,Ingenieria y Tecnologia,5
PRESIDENTE HAYES,Ciencias Agricolas,2
PRESIDENTE HAYES,Ciencias Medicas y Salud,7
PRESIDENTE HAYES,Ciencias Naturales,2
PRESIDENTE HAYES,Ciencias Sociales,80
PRESIDENTE HAYES,Ingenieria y Tecnologia,6
SAN PEDRO,Ciencias Agricolas,9
SAN PEDRO,Ciencias Medicas y Salud,169
SAN PEDRO,Ciencias Naturales,15
SAN PEDRO,Ciencias Sociales,365
SAN PEDRO,Humanidades,1
SAN PEDRO,Ingenieria y Tecnologia,21
