DPTO_NORM,POB_15_29_EST,C_TOTAL,C_PRES,RANK_ABS,RANK_IC,IC_PRES,CUARTIL,DIVERGENCIA_RANKING,DIVERGENCIA_SIGNIFICATIVA
ASUNCION,117906.38728094373,2942,2662,1,1,225.77233188029652,Q4,0,False
CENTRAL,480543.7563327928,2461,2288,2,15,47.61272974308468,Q1,13,True
ALTO PARANA,194801.7241638697,1352,1264,3,11,64.88648934835439,Q2,8,True
ITAPUA,114692.69015465547,1314,1184,4,3,103.23238546444892,Q4,1,False
CAAGUAZU,110069.95557098041,1009,949,5,6,86.21789616222947,Q3,1,False
SAN PEDRO,90596.46613456875,622,574,6,12,63.357879671310904,Q2,6,False
GUAIRA,45800.0942543605,449,410,7,4,89.51946642794628,Q4,3,False
PARAGUARI,51135.5099850194,449,419,7,7,81.93914563925337,Q3,0,False
CORDILLERA,68369.69097856381,434,418,9,13,61.138202325802084,Q2,4,False
CONCEPCION,52591.73642314779,384,356,10,10,67.69124280964219,Q2,0,False
MISIONES,28349.609176119488,382,341,11,2,120.28384514282617,Q4,9,True
CAAZAPA,35577.68564787362,290,263,12,9,73.92273983277458,Q3,3,False
AMAMBAY,45763.61844762511,262,252,13,14,55.065575788856236,Q1,1,False
NEEMBUCU,19569.14277575274,191,170,14,5,86.8714598018261,Q4,9,True
CANINDEYU,48748.51278620953,161,146,15,17,29.94963162061878,Q1,2,False
BOQUERON,18130.261476491523,153,144,16,8,79.42521964546215,Q3,8,True
PRESIDENTE HAYES,31454.13395777314,113,103,17,16,32.7460931330287,Q1,1,False
ALTO PARAGUAY,4386.0244532523675,2,2,18,18,4.559938097282929,Q1,0,False
