Departamento,Carreras,IC (x10K),Score Pertinencia,Prioridad
Alto Paraguay,2,4.56,0.333,ALTA (Suboferta)
Canindeyu,161,29.95,1.0,ALTA (Suboferta)
Presidente Hayes,113,32.75,1.0,ALTA (Suboferta)
Central,2461,47.61,1.0,ALTA (Suboferta)
Amambay,262,55.07,1.0,ALTA (Suboferta)
Cordillera,434,61.14,1.0,ALTA (Suboferta)
San Pedro,622,63.36,1.0,ALTA (Suboferta)
Alto Parana,1352,64.89,1.0,ALTA (Suboferta)
Concepcion,384,67.69,1.0,ALTA (Suboferta)
Caazapa,290,73.92,1.0,ALTA (Suboferta)
Boqueron,153,79.43,0.75,MEDIA
Paraguari,449,81.94,1.0,MEDIA
Caaguazu,1009,86.22,1.0,MEDIA
Neembucu,191,86.87,0.333,MEDIA
Guaira,449,89.52,1.0,MEDIA
Itapua,1314,103.23,1.0,MEDIA
Misiones,382,120.28,0.667,MEDIA
Asuncion,2942,225.77,1.0,BAJA (Alta cobertura)
