DPTO_NORM,POB_15_29_EST,BETA0,BETA1,POB_PROY_2023,POB_PROY_2024,POB_PROY_2025,POB_PROY_2026,POB_PROY_2027,POB_PROY_2028,POB_PROY_2029,POB_PROY_2030,POB_PROY_2031,POB_PROY_2032
CONCEPCION,52591.73642314779,-1435824.53,736.28,53679.0,54415.0,55151.0,55887.0,56624.0,57360.0,58096.0,58833.0,59569.0,60305.0
SAN PEDRO,90596.46613456875,-2473404.32,1268.35,92469.0,93737.0,95005.0,96274.0,97542.0,98811.0,100079.0,101347.0,102616.0,103884.0
CORDILLERA,68369.69097856381,-1866583.72,957.18,69783.0,70740.0,71697.0,72654.0,73611.0,74569.0,75526.0,76483.0,77440.0,78397.0
GUAIRA,45800.0942543605,-1250403.64,641.2,46747.0,47388.0,48029.0,48670.0,49311.0,49953.0,50594.0,51235.0,51876.0,52517.0
CAAGUAZU,110069.95557098041,-3005056.55,1540.98,112345.0,113886.0,115427.0,116968.0,118509.0,120050.0,121591.0,123132.0,124673.0,126214.0
CAAZAPA,35577.68564787362,-971318.26,498.09,36313.0,36811.0,37309.0,37807.0,38305.0,38803.0,39301.0,39800.0,40298.0,40796.0
ITAPUA,114692.69015465547,-3131263.36,1605.7,117063.0,118669.0,120274.0,121880.0,123486.0,125091.0,126697.0,128303.0,129909.0,131514.0
MISIONES,28349.609176119488,-773982.13,396.89,28936.0,29332.0,29729.0,30126.0,30523.0,30920.0,31317.0,31714.0,32111.0,32508.0
PARAGUARI,51135.5099850194,-1396067.6,715.9,52192.0,52908.0,53624.0,54340.0,55056.0,55772.0,56488.0,57204.0,57919.0,58635.0
ALTO PARANA,194801.7241638697,-5318346.81,2727.22,198828.0,201555.0,204282.0,207009.0,209737.0,212464.0,215191.0,217918.0,220645.0,223373.0
CENTRAL,480543.7563327928,-13119485.27,6727.61,490475.0,497203.0,503930.0,510658.0,517385.0,524113.0,530841.0,537568.0,544296.0,551024.0
NEEMBUCU,19569.14277575274,-534263.69,273.97,19974.0,20248.0,20522.0,20795.0,21069.0,21343.0,21617.0,21891.0,22165.0,22439.0
AMAMBAY,45763.61844762511,-1249407.8,640.69,46709.0,47350.0,47991.0,48631.0,49272.0,49913.0,50554.0,51194.0,51835.0,52476.0
CANINDEYU,48748.51278620953,-1330899.4,682.48,49756.0,50438.0,51121.0,51803.0,52486.0,53168.0,53851.0,54533.0,55216.0,55898.0
PRESIDENTE HAYES,31454.13395777314,-858739.8,440.36,32104.0,32545.0,32985.0,33425.0,33866.0,34306.0,34746.0,35187.0,35627.0,36067.0
BOQUERON,18130.261476491523,-494980.31,253.82,18505.0,18759.0,19013.0,19266.0,19520.0,19774.0,20028.0,20282.0,20536.0,20789.0
ALTO PARAGUAY,4386.0244532523675,-119744.32,61.4,4477.0,4538.0,4599.0,4661.0,4722.0,4784.0,4845.0,4906.0,4968.0,5029.0
