DPTO_NORM,AREA,CARRERAS_AREA_TOTAL,CARRERAS_AREA_PRES
ALTO PARAGUAY,Administración de empresas y derecho,1,1.0
ALTO PARAGUAY,Educación,1,1.0
ALTO PARANA,1141,1,1.0
ALTO PARANA,1223,2,2.0
ALTO PARANA,2434,1,1.0
ALTO PARANA,2438,2,2.0
ALTO PARANA,2468,1,1.0
ALTO PARANA,2605,7,7.0
ALTO PARANA,2607,2,2.0
ALTO PARANA,2704,1,1.0
ALTO PARANA,2712,1,1.0
ALTO PARANA,2719,1,1.0
ALTO PARANA,2776,7,7.0
ALTO PARANA,2818,18,18.0
ALTO PARANA,2834,1,1.0
ALTO PARANA,286,1,1.0
ALTO PARANA,2974,1,1.0
ALTO PARANA,3077,3,1.0
ALTO PARANA,3078,1,1.0
ALTO PARANA,3079,5,4.0
ALTO PARANA,3136,4,3.0
ALTO PARANA,3231,1,1.0
ALTO PARANA,3232,3,3.0
ALTO PARANA,3257,3,3.0
ALTO PARANA,3315,1,1.0
ALTO PARANA,3339,3,3.0
ALTO PARANA,3343,2,2.0
ALTO PARANA,3345,1,1.0
ALTO PARANA,3362,1,1.0
ALTO PARANA,3434,1,1.0
ALTO PARANA,3460,1,1.0
ALTO PARANA,3470,1,1.0
ALTO PARANA,3477,1,0.0
ALTO PARANA,3488,1,1.0
ALTO PARANA,3495,1,1.0
ALTO PARANA,3519,10,6.0
ALTO PARANA,359,1,1.0
ALTO PARANA,3672,2,2.0
ALTO PARANA,3708,2,2.0
ALTO PARANA,371,1,1.0
ALTO PARANA,3715,2,2.0
ALTO PARANA,3717,2,2.0
ALTO PARANA,3722,3,3.0
ALTO PARANA,3723,1,1.0
ALTO PARANA,3733,2,2.0
ALTO PARANA,3756,2,2.0
ALTO PARANA,3757,2,2.0
ALTO PARANA,3758,2,2.0
ALTO PARANA,3759,2,2.0
ALTO PARANA,3760,2,2.0
ALTO PARANA,3761,2,2.0
ALTO PARANA,3762,2,2.0
ALTO PARANA,3763,2,2.0
ALTO PARANA,3764,2,2.0
ALTO PARANA,3765,2,2.0
ALTO PARANA,3766,2,2.0
ALTO PARANA,3768,2,2.0
ALTO PARANA,3769,2,2.0
ALTO PARANA,3770,1,1.0
ALTO PARANA,3771,1,1.0
ALTO PARANA,3772,1,1.0
ALTO PARANA,3773,1,1.0
ALTO PARANA,3774,1,1.0
ALTO PARANA,3775,1,1.0
ALTO PARANA,380,1,1.0
ALTO PARANA,3979,1,1.0
ALTO PARANA,3985,1,1.0
ALTO PARANA,4004,1,1.0
ALTO PARANA,4009,1,1.0
ALTO PARANA,4012,1,1.0
ALTO PARANA,4027,1,1.0
ALTO PARANA,4123,1,1.0
ALTO PARANA,4125,2,2.0
ALTO PARANA,4159,1,1.0
ALTO PARANA,4173,1,1.0
ALTO PARANA,4197,2,2.0
ALTO PARANA,4211,1,1.0
ALTO PARANA,4224,1,1.0
ALTO PARANA,4247,8,6.0
ALTO PARANA,4251,1,1.0
ALTO PARANA,4256,3,3.0
ALTO PARANA,4259,60,60.0
ALTO PARANA,4260,8,8.0
ALTO PARANA,4263,10,10.0
ALTO PARANA,4264,15,15.0
ALTO PARANA,4265,1,1.0
ALTO PARANA,4298,11,5.0
ALTO PARANA,4299,1,1.0
ALTO PARANA,4334,2,2.0
ALTO PARANA,4343,6,6.0
ALTO PARANA,4344,1,1.0
ALTO PARANA,4357,1,1.0
ALTO PARANA,4366,1,0.0
ALTO PARANA,4405,1,1.0
ALTO PARANA,4417,2,2.0
ALTO PARANA,4418,1,1.0
ALTO PARANA,4419,1,1.0
ALTO PARANA,4420,1,1.0
ALTO PARANA,4428,3,3.0
ALTO PARANA,4433,1,1.0
ALTO PARANA,4458,1,1.0
ALTO PARANA,4473,9,7.0
ALTO PARANA,4480,1,1.0
ALTO PARANA,4484,1,0.0
ALTO PARANA,4495,1,1.0
ALTO PARANA,4496,1,1.0
ALTO PARANA,4524,2,2.0
ALTO PARANA,4526,1,0.0
ALTO PARANA,4547,9,7.0
ALTO PARANA,4580,1,0.0
ALTO PARANA,4581,1,0.0
ALTO PARANA,4582,1,1.0
ALTO PARANA,4587,1,0.0
ALTO PARANA,4601,1,0.0
ALTO PARANA,4608,1,1.0
ALTO PARANA,4622,1,1.0
ALTO PARANA,4636,1,1.0
ALTO PARANA,4651,1,1.0
ALTO PARANA,4653,1,0.0
ALTO PARANA,4668,5,3.0
ALTO PARANA,4669,2,1.0
ALTO PARANA,4670,3,2.0
ALTO PARANA,4678,1,1.0
ALTO PARANA,4687,1,0.0
ALTO PARANA,4691,1,0.0
ALTO PARANA,4702,15,9.0
ALTO PARANA,4713,40,38.0
ALTO PARANA,4723,1,1.0
ALTO PARANA,4751,2,2.0
ALTO PARANA,4776,1,1.0
ALTO PARANA,4820,2,2.0
ALTO PARANA,4829,1,1.0
ALTO PARANA,4831,1,1.0
ALTO PARANA,4832,1,1.0
ALTO PARANA,4834,1,0.0
ALTO PARANA,4848,1,1.0
ALTO PARANA,4849,1,1.0
ALTO PARANA,4889,9,5.0
ALTO PARANA,4894,11,11.0
ALTO PARANA,4895,17,17.0
ALTO PARANA,4899,1,1.0
ALTO PARANA,4904,1,1.0
ALTO PARANA,4940,1,1.0
ALTO PARANA,5010,1,0.0
ALTO PARANA,5055,8,8.0
ALTO PARANA,5194,1,1.0
ALTO PARANA,5240,1,1.0
ALTO PARANA,5242,1,1.0
ALTO PARANA,5279,1,1.0
ALTO PARANA,5284,5,0.0
ALTO PARANA,5336,1,1.0
ALTO PARANA,Administración de empresas y derecho,260,253.0
ALTO PARANA,"Agricultura, silvicultura, pesca y veterinaria",32,32.0
ALTO PARANA,Artes y humanidades,20,20.0
ALTO PARANA,"Ciencias naturales, matemáticas y estadística",30,30.0
ALTO PARANA,"Ciencias sociales, periodismo e información",29,28.0
ALTO PARANA,Educación,129,116.0
ALTO PARANA,"Ingeniería, industria y construcción",61,60.0
ALTO PARANA,Programas y certificaciones genéricos,2,2.0
ALTO PARANA,Salud y bienestar,254,242.0
ALTO PARANA,Servicios,34,34.0
ALTO PARANA,Tecnologías de la información y la comunicación (TIC),32,32.0
AMAMBAY,1246,1,1.0
AMAMBAY,2450,1,1.0
AMAMBAY,2792,1,1.0
AMAMBAY,2818,1,1.0
AMAMBAY,3078,1,1.0
AMAMBAY,3136,1,1.0
AMAMBAY,3230,1,1.0
AMAMBAY,3232,1,1.0
AMAMBAY,3322,1,1.0
AMAMBAY,3332,2,2.0
AMAMBAY,3339,1,1.0
AMAMBAY,3364,1,1.0
AMAMBAY,3377,1,1.0
AMAMBAY,3434,1,1.0
AMAMBAY,3470,2,2.0
AMAMBAY,3519,1,1.0
AMAMBAY,3708,1,1.0
AMAMBAY,3849,1,1.0
AMAMBAY,3850,1,1.0
AMAMBAY,3851,1,1.0
AMAMBAY,3852,1,1.0
AMAMBAY,3973,1,1.0
AMAMBAY,3979,1,1.0
AMAMBAY,3985,1,1.0
AMAMBAY,3988,1,1.0
AMAMBAY,4009,1,1.0
AMAMBAY,4012,1,1.0
AMAMBAY,4172,1,0.0
AMAMBAY,4173,1,1.0
AMAMBAY,4197,1,1.0
AMAMBAY,4211,1,1.0
AMAMBAY,4224,1,1.0
AMAMBAY,4247,2,2.0
AMAMBAY,4252,8,8.0
AMAMBAY,4259,4,4.0
AMAMBAY,4260,1,1.0
AMAMBAY,4264,3,3.0
AMAMBAY,4335,1,0.0
AMAMBAY,4339,1,1.0
AMAMBAY,4357,1,1.0
AMAMBAY,4399,10,10.0
AMAMBAY,4420,1,1.0
AMAMBAY,4428,1,1.0
AMAMBAY,4473,1,1.0
AMAMBAY,4484,2,1.0
AMAMBAY,4501,1,1.0
AMAMBAY,4547,1,1.0
AMAMBAY,4574,1,0.0
AMAMBAY,4575,1,0.0
AMAMBAY,4576,1,1.0
AMAMBAY,4593,1,1.0
AMAMBAY,4594,2,0.0
AMAMBAY,4595,1,0.0
AMAMBAY,4601,1,0.0
AMAMBAY,4637,1,1.0
AMAMBAY,4702,1,1.0
AMAMBAY,4713,2,2.0
AMAMBAY,4744,7,7.0
AMAMBAY,4746,3,3.0
AMAMBAY,4747,1,1.0
AMAMBAY,4748,6,6.0
AMAMBAY,4749,1,1.0
AMAMBAY,4776,1,1.0
AMAMBAY,4783,1,1.0
AMAMBAY,4784,1,1.0
AMAMBAY,4800,1,1.0
AMAMBAY,4834,1,0.0
AMAMBAY,4842,2,2.0
AMAMBAY,4889,1,1.0
AMAMBAY,4895,3,3.0
AMAMBAY,4940,1,1.0
AMAMBAY,5284,1,1.0
AMAMBAY,Administración de empresas y derecho,51,51.0
AMAMBAY,"Agricultura, silvicultura, pesca y veterinaria",4,4.0
AMAMBAY,"Ciencias naturales, matemáticas y estadística",8,8.0
AMAMBAY,Educación,35,35.0
AMAMBAY,"Ingeniería, industria y construcción",1,1.0
AMAMBAY,Salud y bienestar,38,38.0
AMAMBAY,Servicios,8,8.0
AMAMBAY,Tecnologías de la información y la comunicación (TIC),2,2.0
ASUNCION,1053,1,1.0
ASUNCION,1162,2,2.0
ASUNCION,1223,1,1.0
ASUNCION,1246,1,1.0
ASUNCION,128,1,0.0
ASUNCION,1301,2,2.0
ASUNCION,1359,1,1.0
ASUNCION,1439,1,1.0
ASUNCION,2174,2,2.0
ASUNCION,2253,3,3.0
ASUNCION,2431,1,1.0
ASUNCION,2435,1,1.0
ASUNCION,2446,1,1.0
ASUNCION,2456,1,1.0
ASUNCION,2458,1,1.0
ASUNCION,2571,1,1.0
ASUNCION,2587,4,4.0
ASUNCION,2593,7,7.0
ASUNCION,2604,8,8.0
ASUNCION,2605,7,7.0
ASUNCION,2607,6,6.0
ASUNCION,2704,7,7.0
ASUNCION,2712,11,11.0
ASUNCION,2714,6,6.0
ASUNCION,2719,1,1.0
ASUNCION,2725,4,4.0
ASUNCION,2733,4,4.0
ASUNCION,2734,2,2.0
ASUNCION,2735,6,6.0
ASUNCION,2746,2,2.0
ASUNCION,2772,8,8.0
ASUNCION,2773,8,8.0
ASUNCION,2776,3,1.0
ASUNCION,2785,2,2.0
ASUNCION,2792,5,5.0
ASUNCION,2794,1,1.0
ASUNCION,2818,1,1.0
ASUNCION,283,3,3.0
ASUNCION,2831,2,2.0
ASUNCION,2832,6,6.0
ASUNCION,2834,6,6.0
ASUNCION,2835,7,7.0
ASUNCION,2836,7,7.0
ASUNCION,2837,7,7.0
ASUNCION,2838,5,5.0
ASUNCION,2839,7,7.0
ASUNCION,2840,7,7.0
ASUNCION,2841,4,4.0
ASUNCION,2842,7,7.0
ASUNCION,2848,5,5.0
ASUNCION,2853,5,5.0
ASUNCION,2860,2,2.0
ASUNCION,2861,4,4.0
ASUNCION,287,1,1.0
ASUNCION,2873,1,1.0
ASUNCION,2880,9,6.0
ASUNCION,2883,1,1.0
ASUNCION,2938,1,1.0
ASUNCION,2943,1,1.0
ASUNCION,2959,1,1.0
ASUNCION,2968,1,1.0
ASUNCION,3068,3,3.0
ASUNCION,3079,7,6.0
ASUNCION,3092,7,7.0
ASUNCION,3097,1,1.0
ASUNCION,3111,1,1.0
ASUNCION,3131,1,1.0
ASUNCION,3136,5,2.0
ASUNCION,3172,1,1.0
ASUNCION,3213,1,1.0
ASUNCION,3219,2,2.0
ASUNCION,3220,2,2.0
ASUNCION,3230,2,2.0
ASUNCION,3253,1,1.0
ASUNCION,3257,2,2.0
ASUNCION,3267,1,1.0
ASUNCION,327,1,1.0
ASUNCION,3278,1,0.0
ASUNCION,3312,1,1.0
ASUNCION,3314,1,1.0
ASUNCION,3318,1,1.0
ASUNCION,3332,4,4.0
ASUNCION,3339,6,5.0
ASUNCION,3343,1,0.0
ASUNCION,3350,4,4.0
ASUNCION,3353,2,1.0
ASUNCION,3359,1,1.0
ASUNCION,3378,2,2.0
ASUNCION,3467,1,1.0
ASUNCION,3468,1,1.0
ASUNCION,3470,1,1.0
ASUNCION,3473,1,1.0
ASUNCION,3474,1,1.0
ASUNCION,3476,1,0.0
ASUNCION,3477,1,1.0
ASUNCION,3488,3,3.0
ASUNCION,3489,1,1.0
ASUNCION,3493,2,2.0
ASUNCION,3499,1,1.0
ASUNCION,3519,12,6.0
ASUNCION,3521,1,1.0
ASUNCION,3546,1,1.0
ASUNCION,3547,1,1.0
ASUNCION,3548,1,1.0
ASUNCION,3549,1,1.0
ASUNCION,3550,1,1.0
ASUNCION,3551,1,1.0
ASUNCION,3557,1,1.0
ASUNCION,3561,1,1.0
ASUNCION,3580,1,1.0
ASUNCION,3581,1,1.0
ASUNCION,3582,1,1.0
ASUNCION,3592,4,4.0
ASUNCION,3593,2,2.0
ASUNCION,3594,1,1.0
ASUNCION,3595,4,4.0
ASUNCION,3596,3,3.0
ASUNCION,3597,1,1.0
ASUNCION,3598,3,3.0
ASUNCION,3599,3,3.0
ASUNCION,3600,2,2.0
ASUNCION,3601,1,1.0
ASUNCION,3602,4,4.0
ASUNCION,3603,2,2.0
ASUNCION,3604,1,1.0
ASUNCION,3605,2,2.0
ASUNCION,3606,1,1.0
ASUNCION,3607,1,1.0
ASUNCION,3608,1,1.0
ASUNCION,3609,2,2.0
ASUNCION,3610,3,3.0
ASUNCION,3611,2,2.0
ASUNCION,3612,1,1.0
ASUNCION,3613,2,2.0
ASUNCION,3614,1,1.0
ASUNCION,3615,1,1.0
ASUNCION,3616,8,8.0
ASUNCION,3617,1,1.0
ASUNCION,3618,1,1.0
ASUNCION,3619,1,1.0
ASUNCION,3620,1,1.0
ASUNCION,3621,2,2.0
ASUNCION,3622,2,2.0
ASUNCION,3623,2,2.0
ASUNCION,3624,2,2.0
ASUNCION,3625,1,1.0
ASUNCION,3626,1,1.0
ASUNCION,3627,1,1.0
ASUNCION,3628,1,1.0
ASUNCION,3629,1,1.0
ASUNCION,3630,1,1.0
ASUNCION,3631,1,1.0
ASUNCION,3632,1,1.0
ASUNCION,3633,1,1.0
ASUNCION,3634,1,1.0
ASUNCION,3635,1,1.0
ASUNCION,3636,2,2.0
ASUNCION,3637,1,1.0
ASUNCION,3638,3,3.0
ASUNCION,3639,3,3.0
ASUNCION,3640,2,2.0
ASUNCION,3641,3,3.0
ASUNCION,3642,2,2.0
ASUNCION,3643,1,1.0
